1.0, 16.0, 16.0, 23.5, 77.738, 64.214, 64.095, 64.036, 64.974
1.0, 16.0, 16.0, 31.0, 77.738, 64.214, 64.095, 64.036, 64.974
1.0, 16.0, 23.5, 1.0, 79.350, 70.838, 72.811, 73.412, 76.573
1.0, 16.0, 23.5, 8.5, 75.350, 56.601, 56.525, 56.608, 57.998
1.0, 16.0, 23.5, 16.0, 75.350, 56.601, 56.525, 56.608, 57.998
1.0, 16.0, 23.5, 23.5, 54.267, 42.017, 41.933, 41.900, 42.376
1.0, 16.0, 23.5, 31.0, 54.267, 42.017, 41.933, 41.900, 42.376
1.0, 16.0, 31.0, 1.0, 79.350, 70.838, 72.811, 73.412, 76.573
1.0, 16.0, 31.0, 8.5, 75.350, 56.601, 56.525, 56.608, 57.998
1.0, 16.0, 31.0, 16.0, 75.350, 56.601, 56.525, 56.608, 57.998
1.0, 16.0, 31.0, 23.5, 54.267, 42.017, 41.933, 41.900, 42.376
1.0, 16.0, 31.0, 31.0, 54.267, 42.017, 41.933, 41.900, 42.376
1.0, 23.5, 1.0, 1.0, 163.678, 151.607, 153.472, 154.258, 160.739
1.0, 23.5, 1.0, 8.5, 158.185, 136.213, 136.185, 136.486, 141.507
1.0, 23.5, 1.0, 16.0, 158.185, 136.213, 136.185, 136.486, 141.507
1.0, 23.5, 1.0, 23.5, 152.968, 136.019, 136.009, 136.333, 141.457
1.0, 23.5, 1.0, 31.0, 152.968, 136.019, 136.009, 136.333, 141.457
1.0, 23.5, 8.5, 1.0, 76.056, 71.972, 73.890, 74.364, 77.172
1.0, 23.5, 8.5, 8.5, 71.132, 57.189, 57.068, 57.017, 58.028
1.0, 23.5, 8.5, 16.0, 71.132, 57.189, 57.068, 57.017, 58.028
1.0, 23.5, 8.5, 23.5, 63.726, 56.837, 56.725, 56.691, 57.734
1.0, 23.5, 8.5, 31.0, 63.726, 56.837, 56.725, 56.691, 57.734
1.0, 23.5, 16.0, 1.0, 76.056, 71.972, 73.890, 74.364, 77.172
1.0, 23.5, 16.0, 8.5, 71.132, 57.189, 57.068, 57.017, 58.028
1.0, 23.5, 16.0, 16.0, 71.132, 57.189, 57.068, 57.017, 58.028
1.0, 23.5, 16.0, 23.5, 63.726, 56.837, 56.725, 56.691, 57.734
1.0, 23.5, 16.0, 31.0, 63.726, 56.837, 56.725, 56.691, 57.734
1.0, 23.5, 23.5, 1.0, 51.539, 48.460, 50.436, 50.941, 53.273
1.0, 23.5, 23.5, 8.5, 46.898, 34.129, 34.041, 34.015, 34.530
1.0, 23.5, 23.5, 16.0, 46.898, 34.129, 34.041, 34.015, 34.530
1.0, 23.5, 23.5, 23.5, 39.773, 33.933, 33.853, 33.843, 34.393
1.0, 23.5, 23.5, 31.0, 39.773, 33.933, 33.853, 33.843, 34.393
1.0, 23.5, 31.0, 1.0, 51.539, 48.460, 50.436, 50.941, 53.273
1.0, 23.5, 31.0, 8.5, 46.898, 34.129, 34.041, 34.015, 34.530
1.0, 23.5, 31.0, 16.0, 46.898, 34.129, 34.041, 34.015, 34.530
1.0, 23.5, 31.0, 23.5, 39.773, 33.933, 33.853, 33.843, 34.393
1.0, 23.5, 31.0, 31.0, 39.773, 33.933, 33.853, 33.843, 34.393
