2.561826260357607550e-15 4.526148236769608517e-20 4.713265972712956234e-20 4.910674772431544390e-20 5.257905552305551068e-20 5.985459852602881686e-20 7.656610087680970645e-20 1.174294082002657441e-19 1.840852122342116899e-19 1.860548671069672721e-19 1.351991579559021392e-19 1.433375472628287068e-19 1.467259883075855401e-19 9.583840838986276694e-20 1.014185930796625996e-19 6.196028736599256695e-20 8.549729288272341701e-20 1.104285078956150870e-19 1.736653100086243652e-19 2.951718411182526988e-19
4.526148236769608517e-20 7.024141125022072900e-16 5.047985822743009412e-20 5.251958177242968060e-20 5.587306124784175296e-20 6.276528263727062218e-20 7.886773818973633973e-20 1.202202879096338531e-19 1.915530964705628714e-19 1.956928439974114121e-19 1.413396801356603760e-19 1.537215028841611242e-19 1.617550125906021917e-19 1.069476613137861418e-19 1.166573465112066023e-19 7.227485521206875795e-20 9.864063766547760513e-20 1.203308462072577706e-19 1.769925072957067321e-19 2.921427394643352923e-19
4.713265972712956234e-20 5.047985822743009412e-20 2.969719103047482316e-16 5.485914606705006802e-20 5.828393641156205499e-20 6.529046838771260382e-20 8.172641982399184411e-20 1.244114856921772567e-19 1.989315781727486884e-19 2.036965072430934485e-19 1.469301051119638180e-19 1.606607965368681771e-19 1.700081054816438315e-19 1.126762113400249753e-19 1.236295742859628959e-19 7.679699217408410199e-20 1.045959030090365374e-19 1.261741103436490186e-19 1.829817117003417537e-19 3.000528818865744114e-19
4.910674772431544390e-20 5.251958177242968060e-20 5.485914606705006802e-20 7.653651272355962480e-17 6.067151029093203573e-20 6.806200101265386836e-20 8.536255203805938646e-20 1.300354182810845781e-19 2.075503006018251749e-19 2.122739790260737026e-19 1.532181440863876409e-19 1.670799872345219888e-19 1.762981084426504396e-19 1.167021736617692975e-19 1.276675635444035189e-19 7.919979351619619247e-20 1.079810283938341826e-19 1.309980311848915204e-19 1.913499928592045290e-19 3.148306348708057397e-19
5.257905552305551068e-20 5.587306124784175296e-20 5.828393641156205499e-20 6.067151029093203573e-20 4.668230331125053991e-17 7.305300905571721549e-20 9.242801082976838988e-20 1.412257339129491324e-19 2.236111509250016437e-19 2.275055459978389199e-19 1.646997234783485318e-19 1.773972872652302914e-19 1.847520477927049988e-19 1.216050009033308214e-19 1.311877790721931747e-19 8.086922143421467170e-20 1.108064322888176069e-19 1.380353620598775527e-19 2.082825248148289957e-19 3.477696074271480831e-19
5.985459852602881686e-20 6.276528263727062218e-20 6.529046838771260382e-20 6.806200101265386836e-20 7.305300905571721549e-20 3.333122398737294163e-17 1.076163273534158243e-19 1.654172385086863837e-19 2.577801869992009486e-19 2.595030568683024913e-19 1.889987020902888874e-19 1.984568394635932330e-19 2.009690990335021737e-19 1.306286533420023136e-19 1.365094869243822576e-19 8.290096122115390720e-20 1.149323673910203979e-19 1.519505879242220471e-19 2.450304412526808189e-19 4.207696449945405873e-19
7.656610087680970645e-20 7.886773818973633973e-20 8.172641982399184411e-20 8.536255203805938646e-20 9.242801082976838988e-20 1.076163273534158243e-19 2.016589951309210599e-17 2.194797756617879420e-19 3.352206298269692933e-19 3.328323319236233417e-19 2.443239834636062200e-19 2.479574770586477397e-19 2.412423166267940095e-19 1.538794781212203668e-19 1.528834840267430379e-19 9.053010376853023516e-20 1.280342990616313091e-19 1.855902479529278741e-19 3.268741893232136059e-19 5.803995587985745287e-19
1.174294082002657441e-19 1.202202879096338531e-19 1.244114856921772567e-19 1.300354182810845781e-19 1.412257339129491324e-19 1.654172385086863837e-19 2.194797756617879420e-19 1.599274098434983131e-17 5.169704605563103986e-19 5.109200738525519275e-19 3.760487533302299945e-19 3.772203461496669085e-19 3.617593589154187570e-19 2.291314427898611732e-19 2.231750319606014189e-19 1.307788312872004261e-19 1.864947487744337972e-19 2.800723438414682169e-19 5.083094712549630672e-19 9.120723514769410180e-19
1.840852122342116899e-19 1.915530964705628714e-19 1.989315781727486884e-19 2.075503006018251749e-19 2.236111509250016437e-19 2.577801869992009486e-19 3.352206298269692933e-19 5.169704605563103986e-19 2.136840227917464500e-17 7.990260127575335394e-19 5.839416779697003328e-19 6.041940728113730120e-19 6.015565095165020048e-19 3.879531470643135055e-19 3.971476654147903509e-19 2.387680326808283309e-19 3.336593311964726403e-19 4.581597834196929095e-19 7.676205656836261755e-19 1.338092043055319740e-18
1.860548671069672721e-19 1.956928439974114121e-19 2.036965072430934485e-19 2.122739790260737026e-19 2.275055459978389199e-19 2.595030568683024913e-19 3.328323319236233417e-19 5.109200738525519275e-19 7.990260127575335394e-19 1.149764956100954953e-17 5.864310878683274338e-19 6.193458695530652799e-19 6.312773629594610950e-19 4.115413572839568973e-19 4.333584470388751181e-19 2.641356085291250462e-19 3.651444044567536038e-19 4.759778437244710207e-19 7.560879918022097134e-19 1.290440268984073539e-18
