#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated with AlterBBN v1.4 [http://superiso.in2p3.fr/relic/alterbbn/] for a 
#neutron lifetime of 880.1 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes

#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err D/H       He3/H    err He3/H         Li7      sig Li7
 
     0.03200      8.75720     -3.00000      0.19607      0.19720      0.00011    7.703e-06     2.45e-07   7.167e-06     3.61e-07   1.014e-09     7.16e-11
     0.03300      9.03088     -3.00000      0.19635      0.19748      0.00011    7.232e-06     2.43e-07   7.063e-06     3.57e-07   1.055e-09     7.45e-11
     0.03400      9.30456     -3.00000      0.19662      0.19775      0.00011    6.796e-06     2.25e-07   6.965e-06     3.52e-07   1.095e-09     7.72e-11
     0.03500      9.57825     -3.00000      0.19688      0.19802      0.00011    6.391e-06     2.24e-07   6.872e-06     3.50e-07   1.135e-09     7.97e-11
     0.03600      9.85193     -3.00000      0.19714      0.19827      0.00011    6.015e-06     2.13e-07   6.783e-06     3.46e-07   1.174e-09     8.24e-11
     0.03700     10.12561     -3.00000      0.19739      0.19852      0.00011    5.665e-06     2.00e-07   6.699e-06     3.40e-07   1.212e-09     8.52e-11
     0.03800     10.39930     -3.00000      0.19763      0.19876      0.00011    5.339e-06     1.98e-07   6.619e-06     3.37e-07   1.250e-09     8.77e-11
     0.03900     10.67298     -3.00000      0.19786      0.19900      0.00011    5.035e-06     1.97e-07   6.542e-06     3.34e-07   1.287e-09     9.04e-11
     0.04000     10.94667     -3.00000      0.19809      0.19923      0.00011    4.750e-06     1.86e-07   6.469e-06     3.31e-07   1.323e-09     9.25e-11

     0.00500      1.36835     -2.00000      0.19614      0.19727      0.00011    1.959e-04     2.27e-06   2.504e-05     4.88e-07   1.226e-10     6.10e-11
     0.00600      1.64198     -2.00000      0.19886      0.20000      0.00011    1.468e-04     1.80e-06   2.194e-05     5.01e-07   9.583e-11     4.13e-11
     0.00700      1.91568     -2.00000      0.20095      0.20210      0.00011    1.152e-04     1.44e-06   1.964e-05     5.03e-07   8.594e-11     3.00e-11
     0.00800      2.18938     -2.00000      0.20264      0.20380      0.00011    9.356e-05     1.25e-06   1.785e-05     5.12e-07   8.641e-11     2.29e-11
     0.00900      2.46308     -2.00000      0.20406      0.20522      0.00011    7.797e-05     9.91e-07   1.642e-05     5.05e-07   9.434e-11     1.80e-11
     0.01000      2.73679     -2.00000      0.20527      0.20644      0.00011    6.629e-05     9.16e-07   1.526e-05     5.06e-07   1.082e-10     1.53e-11
     0.01100      3.01049     -2.00000      0.20633      0.20750      0.00011    5.725e-05     7.71e-07   1.429e-05     5.00e-07   1.271e-10     1.33e-11
     0.01200      3.28420     -2.00000      0.20727      0.20845      0.00011    5.008e-05     7.19e-07   1.347e-05     4.95e-07   1.504e-10     1.30e-11
     0.01300      3.55791     -2.00000      0.20812      0.20930      0.00011    4.427e-05     6.05e-07   1.277e-05     4.86e-07   1.776e-10     1.38e-11
     0.01400      3.83161     -2.00000      0.20889      0.21008      0.00011    3.947e-05     6.24e-07   1.217e-05     4.78e-07   2.083e-10     1.54e-11
     0.01500      4.10532     -2.00000      0.20960      0.21079      0.00011    3.545e-05     5.00e-07   1.165e-05     4.72e-07   2.419e-10     1.75e-11
     0.01600      4.37903     -2.00000      0.21025      0.21144      0.00011    3.204e-05     4.66e-07   1.118e-05     4.64e-07   2.781e-10     1.99e-11
     0.01700      4.65275     -2.00000      0.21086      0.21205      0.00011    2.912e-05     4.32e-07   1.077e-05     4.58e-07   3.166e-10     2.25e-11
     0.01800      4.92646     -2.00000      0.21142      0.21261      0.00011    2.659e-05     4.31e-07   1.041e-05     4.52e-07   3.571e-10     2.54e-11
     0.01900      5.20017     -2.00000      0.21195      0.21315      0.00011    2.437e-05     4.35e-07   1.008e-05     4.45e-07   3.991e-10     2.86e-11
     0.02000      5.47389     -2.00000      0.21245      0.21365      0.00011    2.242e-05     4.43e-07   9.779e-06     4.39e-07   4.424e-10     3.17e-11
     0.02025      5.54233     -2.00000      0.21257      0.21377      0.00011    2.197e-05     4.50e-07   9.709e-06     4.38e-07   4.534e-10     3.26e-11
     0.02050      5.61076     -2.00000      0.21269      0.21389      0.00011    2.153e-05     4.53e-07   9.641e-06     4.36e-07   4.644e-10     3.33e-11
     0.02075      5.67919     -2.00000      0.21280      0.21400      0.00011    2.111e-05     4.12e-07   9.574e-06     4.35e-07   4.755e-10     3.40e-11
     0.02100      5.74761     -2.00000      0.21292      0.21412      0.00011    2.069e-05     4.08e-07   9.508e-06     4.33e-07   4.867e-10     3.47e-11
     0.02125      5.81604     -2.00000      0.21303      0.21423      0.00011    2.029e-05     4.15e-07   9.444e-06     4.29e-07   4.979e-10     3.56e-11
     0.02150      5.88447     -2.00000      0.21314      0.21435      0.00011    1.990e-05     3.92e-07   9.382e-06     4.33e-07   5.091e-10     3.64e-11
     0.02175      5.95290     -2.00000      0.21325      0.21446      0.00011    1.952e-05     3.70e-07   9.320e-06     4.24e-07   5.204e-10     3.72e-11
     0.02200      6.02133     -2.00000      0.21336      0.21457      0.00011    1.915e-05     3.91e-07   9.260e-06     4.26e-07   5.318e-10     3.80e-11
     0.02225      6.08976     -2.00000      0.21347      0.21467      0.00011    1.879e-05     3.89e-07   9.202e-06     4.24e-07   5.431e-10     3.89e-11
     0.02250      6.15819     -2.00000      0.21358      0.21478      0.00011    1.844e-05     4.12e-07   9.144e-06     4.24e-07   5.545e-10     3.97e-11
     0.02275      6.22662     -2.00000      0.21368      0.21489      0.00011    1.810e-05     4.25e-07   9.088e-06     4.24e-07   5.659e-10     4.05e-11
     0.02300      6.29505     -2.00000      0.21379      0.21499      0.00011    1.777e-05     4.01e-07   9.033e-06     4.24e-07   5.774e-10     4.14e-11
     0.02325      6.36348     -2.00000      0.21389      0.21509      0.00011    1.745e-05     4.14e-07   8.979e-06     4.21e-07   5.888e-10     4.22e-11
     0.02350      6.43190     -2.00000      0.21399      0.21520      0.00011    1.713e-05     4.32e-07   8.926e-06     4.19e-07   6.003e-10     4.30e-11
     0.02375      6.50033     -2.00000      0.21409      0.21530      0.00011    1.682e-05     3.79e-07   8.874e-06     4.18e-07   6.118e-10     4.39e-11
     0.02400      6.56876     -2.00000      0.21419      0.21540      0.00011    1.653e-05     3.60e-07   8.824e-06     4.18e-07   6.233e-10     4.47e-11
     0.02500      6.84247     -2.00000      0.21457      0.21578      0.00011    1.540e-05     3.17e-07   8.630e-06     4.10e-07   6.695e-10     4.79e-11
     0.02600      7.11618     -2.00000      0.21494      0.21615      0.00011    1.438e-05     3.29e-07   8.450e-06     4.04e-07   7.157e-10     5.13e-11
     0.02700      7.38990     -2.00000      0.21529      0.21651      0.00011    1.345e-05     3.51e-07   8.283e-06     4.03e-07   7.618e-10     5.46e-11
     0.02800      7.66362     -2.00000      0.21563      0.21685      0.00011    1.259e-05     3.03e-07   8.127e-06     3.94e-07   8.077e-10     5.77e-11
     0.02900      7.93734     -2.00000      0.21596      0.21717      0.00011    1.181e-05     2.87e-07   7.981e-06     3.90e-07   8.533e-10     6.10e-11
     0.03000      8.21106     -2.00000      0.21627      0.21749      0.00011    1.109e-05     2.81e-07   7.844e-06     3.85e-07   8.986e-10     6.41e-11
     0.03100      8.48479     -2.00000      0.21657      0.21779      0.00011    1.043e-05     2.74e-07   7.715e-06     3.81e-07   9.434e-10     6.72e-11
     0.03200      8.75851     -2.00000      0.21687      0.21808      0.00011    9.820e-06     3.06e-07   7.594e-06     3.76e-07   9.878e-10     7.03e-11
     0.03300      9.03223     -2.00000      0.21715      0.21837      0.00011    9.253e-06     2.78e-07   7.480e-06     3.74e-07   1.032e-09     7.33e-11
     0.03400      9.30595     -2.00000      0.21742      0.21864      0.00011    8.728e-06     2.82e-07   7.371e-06     3.68e-07   1.075e-09     7.63e-11
     0.03500      9.57967     -2.00000      0.21769      0.21891      0.00011    8.239e-06     2.71e-07   7.268e-06     3.64e-07   1.118e-09     7.92e-11
     0.03600      9.85340     -2.00000      0.21794      0.21916      0.00011    7.784e-06     2.58e-07   7.171e-06     3.60e-07   1.160e-09     8.21e-11
     0.03700     10.12712     -2.00000      0.21819      0.21941      0.00011    7.359e-06     2.35e-07   7.078e-06     3.58e-07   1.202e-09     8.50e-11
     0.03800     10.40085     -2.00000      0.21843      0.21966      0.00011    6.963e-06     2.30e-07   6.990e-06     3.55e-07   1.243e-09     8.77e-11
     0.03900     10.67457     -2.00000      0.21867      0.21989      0.00011    6.593e-06     2.28e-07   6.906e-06     3.52e-07   1.283e-09     9.04e-11
     0.04000     10.94830     -2.00000      0.21890      0.22012      0.00011    6.245e-06     2.20e-07   6.825e-06     3.48e-07   1.323e-09     9.32e-11

     0.00500      1.36835     -1.00000      0.21257      0.21377      0.00012    2.352e-04     2.64e-06   2.692e-05     4.75e-07   1.674e-10     8.76e-11
     0.00600      1.64217     -1.00000      0.21548      0.21669      0.00012    1.752e-04     2.24e-06   2.359e-05     4.94e-07   1.232e-10     5.88e-11
     0.00700      1.91591     -1.00000      0.21768      0.21890      0.00012    1.369e-04     1.86e-06   2.111e-05     5.06e-07   1.025e-10     4.21e-11
     0.00800      2.18964     -1.00000      0.21945      0.22068      0.00011    1.108e-04     1.32e-06   1.919e-05     5.03e-07   9.511e-11     3.16e-11
     0.00900      2.46338     -1.00000      0.22092      0.22215      0.00011    9.209e-05     1.21e-06   1.764e-05     5.02e-07   9.658e-11     2.51e-11
     0.01000      2.73712     -1.00000      0.22217      0.22341      0.00011    7.814e-05     9.94e-07   1.637e-05     5.05e-07   1.047e-10     2.01e-11
     0.01100      3.01086     -1.00000      0.22326      0.22450      0.00011    6.740e-05     1.01e-06   1.532e-05     5.00e-07   1.184e-10     1.75e-11
     0.01200      3.28460     -1.00000      0.22423      0.22547      0.00011    5.891e-05     8.25e-07   1.442e-05     5.03e-07   1.367e-10     1.52e-11
     0.01300      3.55834     -1.00000      0.22509      0.22634      0.00011    5.205e-05     7.43e-07   1.366e-05     4.95e-07   1.592e-10     1.46e-11
     0.01400      3.83208     -1.00000      0.22588      0.22713      0.00011    4.641e-05     6.27e-07   1.300e-05     4.87e-07   1.853e-10     1.50e-11
     0.01500      4.10582     -1.00000      0.22659      0.22785      0.00011    4.170e-05     5.46e-07   1.242e-05     4.81e-07   2.148e-10     1.61e-11
     0.01600      4.37957     -1.00000      0.22725      0.22851      0.00011    3.772e-05     5.52e-07   1.192e-05     4.76e-07   2.472e-10     1.80e-11
     0.01700      4.65331     -1.00000      0.22787      0.22913      0.00011    3.430e-05     5.12e-07   1.146e-05     4.71e-07   2.821e-10     2.02e-11
     0.01800      4.92706     -1.00000      0.22844      0.22970      0.00011    3.135e-05     4.69e-07   1.106e-05     4.64e-07   3.194e-10     2.30e-11
     0.01900      5.20081     -1.00000      0.22897      0.23024      0.00011    2.877e-05     4.65e-07   1.070e-05     4.58e-07   3.586e-10     2.55e-11
     0.02000      5.47455     -1.00000      0.22947      0.23074      0.00011    2.651e-05     4.61e-07   1.037e-05     4.57e-07   3.995e-10     2.84e-11
     0.02025      5.54300     -1.00000      0.22959      0.23086      0.00011    2.598e-05     4.49e-07   1.030e-05     4.51e-07   4.100e-10     2.91e-11
     0.02050      5.61144     -1.00000      0.22971      0.23098      0.00011    2.547e-05     4.57e-07   1.022e-05     4.49e-07   4.205e-10     2.99e-11
     0.02075      5.67988     -1.00000      0.22983      0.23110      0.00011    2.498e-05     4.61e-07   1.015e-05     4.48e-07   4.312e-10     3.07e-11
     0.02100      5.74832     -1.00000      0.22995      0.23122      0.00011    2.450e-05     4.69e-07   1.008e-05     4.47e-07   4.419e-10     3.15e-11
     0.02125      5.81675     -1.00000      0.23006      0.23133      0.00011    2.404e-05     4.64e-07   1.001e-05     4.45e-07   4.527e-10     3.23e-11
     0.02150      5.88519     -1.00000      0.23017      0.23144      0.00011    2.358e-05     4.62e-07   9.937e-06     4.43e-07   4.635e-10     3.32e-11
     0.02175      5.95363     -1.00000      0.23029      0.23156      0.00011    2.314e-05     4.77e-07   9.870e-06     4.42e-07   4.745e-10     3.41e-11
     0.02200      6.02206     -1.00000      0.23040      0.23167      0.00011    2.271e-05     4.45e-07   9.804e-06     4.41e-07   4.854e-10     3.49e-11
     0.02225      6.09050     -1.00000      0.23050      0.23178      0.00011    2.230e-05     4.12e-07   9.740e-06     4.39e-07   4.965e-10     3.55e-11
     0.02250      6.15894     -1.00000      0.23061      0.23188      0.00011    2.189e-05     4.02e-07   9.677e-06     4.38e-07   5.076e-10     3.63e-11
     0.02275      6.22738     -1.00000      0.23072      0.23199      0.00011    2.150e-05     3.91e-07   9.616e-06     4.40e-07   5.187e-10     3.72e-11
     0.02300      6.29581     -1.00000      0.23082      0.23209      0.00011    2.111e-05     4.07e-07   9.555e-06     4.38e-07   5.299e-10     3.80e-11
     0.02325      6.36425     -1.00000      0.23092      0.23220      0.00011    2.074e-05     4.00e-07   9.496e-06     4.36e-07   5.412e-10     3.88e-11
     0.02350      6.43269     -1.00000      0.23103      0.23230      0.00011    2.037e-05     4.04e-07   9.438e-06     4.35e-07   5.525e-10     3.96e-11
     0.02375      6.50113     -1.00000      0.23113      0.23240      0.00011    2.002e-05     3.99e-07   9.382e-06     4.34e-07   5.638e-10     4.04e-11
     0.02400      6.56956     -1.00000      0.23123      0.23250      0.00011    1.967e-05     3.93e-07   9.326e-06     4.32e-07   5.752e-10     4.13e-11
     0.02500      6.84330     -1.00000      0.23161      0.23289      0.00011    1.837e-05     3.66e-07   9.114e-06     4.25e-07   6.210e-10     4.45e-11
     0.02600      7.11705     -1.00000      0.23198      0.23326      0.00011    1.718e-05     4.20e-07   8.918e-06     4.22e-07   6.672e-10     4.80e-11
     0.02700      7.39081     -1.00000      0.23233      0.23361      0.00011    1.611e-05     3.42e-07   8.735e-06     4.12e-07   7.136e-10     5.16e-11
     0.02800      7.66456     -1.00000      0.23267      0.23395      0.00011    1.512e-05     3.58e-07   8.565e-06     4.10e-07   7.601e-10     5.45e-11
     0.02900      7.93831     -1.00000      0.23300      0.23428      0.00011    1.421e-05     3.67e-07   8.405e-06     4.08e-07   8.067e-10     5.78e-11
     0.03000      8.21207     -1.00000      0.23331      0.23459      0.00011    1.338e-05     3.25e-07   8.256e-06     4.01e-07   8.531e-10     6.10e-11
