#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated with AlterBBN v1.4 [http://superiso.in2p3.fr/relic/alterbbn/] for a 
#neutron lifetime of 887.7 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes

#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err D/H       He3/H    err He3/H         Li7      sig Li7
 
     0.00500      1.36835     -3.00000      0.17759      0.17864      0.00011    1.590e-04     2.00e-06   2.295e-05     5.00e-07   8.874e-11     4.00e-11
     0.00600      1.64176     -3.00000      0.18011      0.18117      0.00011    1.198e-04     1.42e-06   2.012e-05     5.09e-07   7.610e-11     2.74e-11
     0.00700      1.91542     -3.00000      0.18207      0.18314      0.00011    9.443e-05     1.15e-06   1.802e-05     5.06e-07   7.574e-11     2.02e-11
     0.00800      2.18909     -3.00000      0.18367      0.18474      0.00011    7.694e-05     9.70e-07   1.640e-05     5.20e-07   8.372e-11     1.57e-11
     0.00900      2.46275     -3.00000      0.18501      0.18609      0.00011    6.427e-05     8.96e-07   1.510e-05     5.04e-07   9.817e-11     1.30e-11
     0.01000      2.73641     -3.00000      0.18618      0.18726      0.00011    5.472e-05     7.41e-07   1.405e-05     4.99e-07   1.180e-10     1.17e-11
     0.01100      3.01008     -3.00000      0.18720      0.18829      0.00011    4.729e-05     8.37e-07   1.318e-05     4.84e-07   1.426e-10     1.25e-11
     0.01200      3.28375     -3.00000      0.18811      0.18920      0.00011    4.138e-05     5.83e-07   1.245e-05     4.83e-07   1.712e-10     1.29e-11
     0.01300      3.55742     -3.00000      0.18893      0.19003      0.00011    3.656e-05     5.17e-07   1.183e-05     4.75e-07   2.033e-10     1.46e-11
     0.01400      3.83109     -3.00000      0.18968      0.19078      0.00011    3.258e-05     4.70e-07   1.129e-05     4.67e-07   2.385e-10     1.69e-11
     0.01500      4.10476     -3.00000      0.19037      0.19148      0.00011    2.923e-05     4.35e-07   1.082e-05     4.58e-07   2.763e-10     1.96e-11
     0.01600      4.37843     -3.00000      0.19101      0.19211      0.00011    2.638e-05     4.30e-07   1.040e-05     4.52e-07   3.162e-10     2.25e-11
     0.01700      4.65210     -3.00000      0.19160      0.19271      0.00011    2.394e-05     4.23e-07   1.004e-05     4.41e-07   3.578e-10     2.55e-11
     0.01800      4.92578     -3.00000      0.19215      0.19326      0.00011    2.181e-05     4.07e-07   9.709e-06     4.37e-07   4.008e-10     2.86e-11
     0.01900      5.19945     -3.00000      0.19267      0.19379      0.00011    1.995e-05     3.56e-07   9.413e-06     4.28e-07   4.449e-10     3.18e-11
     0.02000      5.47313     -3.00000      0.19316      0.19428      0.00011    1.831e-05     3.52e-07   9.145e-06     4.23e-07   4.897e-10     3.50e-11
     0.02025      5.54156     -3.00000      0.19328      0.19440      0.00011    1.793e-05     3.57e-07   9.082e-06     4.22e-07   5.010e-10     3.58e-11
     0.02050      5.60998     -3.00000      0.19340      0.19451      0.00011    1.757e-05     3.54e-07   9.020e-06     4.20e-07   5.123e-10     3.66e-11
     0.02075      5.67840     -3.00000      0.19351      0.19463      0.00011    1.721e-05     3.55e-07   8.960e-06     4.18e-07   5.236e-10     3.74e-11
     0.02100      5.74682     -3.00000      0.19362      0.19474      0.00011    1.686e-05     3.62e-07   8.901e-06     4.17e-07   5.350e-10     3.82e-11
     0.02125      5.81524     -3.00000      0.19374      0.19486      0.00011    1.652e-05     3.55e-07   8.844e-06     4.15e-07   5.464e-10     3.91e-11
     0.02150      5.88366     -3.00000      0.19385      0.19497      0.00011    1.619e-05     3.47e-07   8.787e-06     4.13e-07   5.577e-10     3.99e-11
     0.02175      5.95208     -3.00000      0.19396      0.19508      0.00011    1.588e-05     3.55e-07   8.732e-06     4.11e-07   5.691e-10     4.07e-11
     0.02200      6.02050     -3.00000      0.19406      0.19518      0.00011    1.556e-05     4.02e-07   8.678e-06     4.10e-07   5.805e-10     4.16e-11
     0.02225      6.08892     -3.00000      0.19417      0.19529      0.00011    1.526e-05     3.54e-07   8.625e-06     4.08e-07   5.919e-10     4.24e-11
     0.02250      6.15734     -3.00000      0.19427      0.19540      0.00011    1.497e-05     3.52e-07   8.574e-06     4.08e-07   6.033e-10     4.32e-11
     0.02275      6.22576     -3.00000      0.19438      0.19550      0.00011    1.468e-05     3.53e-07   8.523e-06     4.09e-07   6.148e-10     4.40e-11
     0.02300      6.29418     -3.00000      0.19448      0.19560      0.00011    1.440e-05     3.13e-07   8.474e-06     4.03e-07   6.262e-10     4.48e-11
     0.02325      6.36260     -3.00000      0.19458      0.19570      0.00011    1.413e-05     3.12e-07   8.425e-06     4.03e-07   6.376e-10     4.55e-11
     0.02350      6.43101     -3.00000      0.19468      0.19581      0.00011    1.387e-05     3.10e-07   8.377e-06     4.00e-07   6.489e-10     4.64e-11
     0.02375      6.49943     -3.00000      0.19478      0.19590      0.00011    1.361e-05     3.07e-07   8.331e-06     3.99e-07   6.603e-10     4.72e-11
     0.02400      6.56785     -3.00000      0.19488      0.19600      0.00011    1.336e-05     2.98e-07   8.285e-06     3.97e-07   6.717e-10     4.79e-11
     0.02500      6.84152     -3.00000      0.19526      0.19639      0.00011    1.241e-05     3.01e-07   8.110e-06     3.94e-07   7.170e-10     5.12e-11
     0.02600      7.11520     -3.00000      0.19562      0.19675      0.00011    1.155e-05     3.05e-07   7.948e-06     3.91e-07   7.620e-10     5.43e-11
     0.02700      7.38888     -3.00000      0.19597      0.19710      0.00011    1.077e-05     2.86e-07   7.797e-06     3.84e-07   8.066e-10     5.73e-11
     0.02800      7.66256     -3.00000      0.19631      0.19744      0.00011    1.005e-05     2.73e-07   7.656e-06     3.78e-07   8.506e-10     6.04e-11
     0.02900      7.93624     -3.00000      0.19663      0.19776      0.00011    9.399e-06     2.83e-07   7.524e-06     3.75e-07   8.942e-10     6.34e-11
     0.03000      8.20993     -3.00000      0.19694      0.19807      0.00011    8.797e-06     2.61e-07   7.400e-06     3.72e-07   9.372e-10     6.64e-11
     0.03100      8.48361     -3.00000      0.19724      0.19837      0.00011    8.243e-06     2.57e-07   7.284e-06     3.68e-07   9.796e-10     6.92e-11
     0.03200      8.75729     -3.00000      0.19753      0.19866      0.00011    7.732e-06     2.52e-07   7.174e-06     3.64e-07   1.021e-09     7.21e-11
     0.03300      9.03098     -3.00000      0.19781      0.19895      0.00011    7.260e-06     2.38e-07   7.070e-06     3.55e-07   1.062e-09     7.50e-11
